product_name,product_src_image,product_price_new,product_price_old
Đồng hồ thông minh Huawei Watch GT3 dây da,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/w/a/watch_3_leather.jpg",,6.990.000 ₫
Đồng hồ thông minh Huawei Watch GT3 dây Silicone,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/template_dongho_final_5_1.jpg",4.190.000 ₫,6.490.000 ₫
Đồng hồ thông minh Huawei Watch GT3 Pro dây silicone,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/w/a/watch-gt-3-pro.jpg",6.990.000 ₫,8.490.000 ₫
Đồng hồ thông minh Huawei Watch GT3 42mm Silicone,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/w/a/watch-gt-3_1.jpg",3.690.000 ₫,5.990.000 ₫
Đồng hồ thông minh Huawei Watch GT3 Pro dây da,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/3/-/3-pro.jpg",7.390.000 ₫,8.990.000 ₫
Đồng hồ thông minh Huawei watch GT 3 42mm dây da,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/t/gt3.jpg",4.190.000 ₫,6.490.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/h/theo-doi-suc-khoe-asus-vivowatch-5-2-2.jpg",,
Samsung Galaxy Watch5,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/w/a/watch-lte-44_1.jpg",6.490.000 ₫,0
Apple Watch SE 2022 40mm | Chính Hãng VN/A,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/w/a/watch-se.jpg",6.490.000 ₫,7.490.000 ₫
Vòng đeo tay thông minh Xiaomi Redmi band 2,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/r/e/redmi_band_2.png",790.000 ₫,990.000 ₫
Đồng hồ thông minh Xiaomi Watch S1 Active,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/a/c/active-s1-blue-thumb.jpg",2.990.000 ₫,4.490.000 ₫
Vòng đeo tay thông minh Huawei Band 7,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/u/huawei-band-7.jpg",949.000 ₫,1.090.000 ₫
Apple Watch SE 40mm (GPS) Viền Nhôm - Dây Cao Su | Chính Hãng VN/A,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_280.jpg",5.790.000 ₫,8.990.000 ₫
Đồng hồ thông minh Huawei Watch GT3 dây da,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/w/a/watch_3_leather.jpg",4.690.000 ₫,6.990.000 ₫
Apple Watch SE 2022 44mm | Chính hãng VN/A,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/e/se-2022-40mm.jpg",6.990.000 ₫,8.490.000 ₫
