product_name,product_src_image,product_price_new,product_price_old
Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/macbook_air_22.png",19.690.000 ₫,28.990.000 ₫
Apple Macbook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/macbook_air_m2.png",26.790.000 ₫,32.990.000 ₫
Laptop Asus Vivobook Flip 14 TP470EA EC346W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/9/_/9.1.jpg",11.490.000 ₫,16.590.000 ₫
Laptop Asus Gaming Rog Strix G15 G513IH HN015W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/h/4h43.png",18.490.000 ₫,23.990.000 ₫
Apple Macbook Pro 13 M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/macbook_256.png",30.290.000 ₫,35.990.000 ₫
Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021 | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/mac_pro.png",51.990.000 ₫,65.990.000 ₫
Laptop MSI Modern 14 B11MOU-1032VN,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/text_ng_n_22_.png",14.790.000 ₫,21.900.000 ₫
Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/p/r/pro_8gb.png",27.590.000 ₫,35.990.000 ₫
Apple Mac mini M1 256GB 2020 I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/m/img-apple-main_1.jpg",13.990.000 ₫,19.990.000 ₫
Laptop HP Gaming Victus 15-FA0031DX 6503849,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/l/a/laptop-hp-gaming-victus-15-fa0031dx-6503849-6.jpg",16.790.000 ₫,22.990.000 ₫
Apple Macbook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/a/i/air_m2_16gb.png",32.990.000 ₫,39.990.000 ₫
Laptop Asus Vivobook OLED 15X A1503ZA-L1151W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/d/c/dcd_1.jpg",14.690.000 ₫,16.990.000 ₫
Laptop Lenovo Yoga Slim 7I 14ITL5,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/y/o/yoga-purple.jpg",21.990.000 ₫,27.990.000 ₫
Laptop Asus Vivobook 14X M1403QA-LY024W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/a/gaming_5_3.png",14.990.000 ₫,17.990.000 ₫
Laptop Lenovo Ideapad Gaming 3 15ARH7,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/h/1h47.png",23.990.000 ₫,27.490.000 ₫
Laptop ASUS TUF Gaming F15 FX506HC-HN144W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/h/5h53.png",19.990.000 ₫,25.990.000 ₫
Laptop ASUS VivoBook 15X A1503ZA-L1422W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/a/gaming_003_5__4.png",18.190.000 ₫,20.490.000 ₫
Macbook Pro 14 inch 2021 | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/p/r/pro_2021.png",45.990.000 ₫,52.990.000 ₫
Laptop Asus Rog Strix G15 G513IE-HN246W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/text_d_i_3.png",22.390.000 ₫,26.990.000 ₫
Laptop Gaming Acer Nitro 5 Eagle AN515-57-54MV NH.QENSV.003,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/text_ng_n_7.png",20.990.000 ₫,26.490.000 ₫
Laptop Dell Inspirion 15 3000 I3511 5101BLK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/0/7/07_1_5.jpg",13.490.000 ₫,19.990.000 ₫
Laptop ASUS Vivobook Pro M6500QC-MA002W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_222_1.png",23.490.000 ₫,27.990.000 ₫
Laptop ASUS Gaming TUF FX506LHB-HN188W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/h/5h03_1.png",16.290.000 ₫,20.990.000 ₫
Laptop Lenevo Ideapad 3 14ITL6,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/l/a/laptop-lenovo-ideapad-3-14itl6_6_.png",15.490.000 ₫,17.690.000 ₫
Laptop Asus Zenbook 14 UX3402ZA-KM219W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/6/_/6_26_80.jpg",24.490.000 ₫,27.990.000 ₫
Laptop MSI Modern 14 B11SBU-668VN,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/_/0/_0004_msi-modern-14-b10mw-646vn-i5-102_2.jpg",13.990.000 ₫,22.490.000 ₫
Apple MacBook Pro 13 M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/macbook_pro_m22.png",37.490.000 ₫,41.990.000 ₫
Apple MacBook Pro 13 M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/macbook13.png",35.490.000 ₫,41.990.000 ₫
