product_name,product_src_image,product_price_new,product_price_old
Máy chiếu mini Wanbo T6R Max Full HD,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/6/t6r_full_hd.png",6.590.000 ₫,7.990.000 ₫
Máy hút bụi cầm tay Xiaomi Mi Vaccum Cleaner Light,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/may-hut-bui-cam-tay-xiaomi-mi-vacuum-cleaner-light-2_1.jpg",2.290.000 ₫,3.490.000 ₫
Máy hút bụi cầm tay Samsung Jet 60 Turbo VS15A6031R1/SV,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/d/d/ddd.png",4.790.000 ₫,7.990.000 ₫
Máy lọc không khí Xiaomi Air Purifier 4 Lite,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/s/ksp_v2.jpg",,
Máy lọc không khí Xiaomi Air Purifier 4 Pro,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/_/m_y_l_c_xiaomi.jpg",4.990.000 ₫,6.290.000 ₫
Máy lọc không khí Xiaomi Air Purifier 4,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/may-loc-khong-khi-xiaomi-mi-air-purifier-4-ksp.jpg",3.890.000 ₫,4.990.000 ₫
Máy lọc không khí Xiaomi Air Purifier 4 Compact,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/c/o/compact.jpg",1.990.000 ₫,2.590.000 ₫
Máy lọc không khí Vsmart 30la5300,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/may-loc-khong-khi-vsmart-35la5300_1_2.jpg",1.190.000 ₫,2.990.000 ₫
Máy lọc không khí LG Puricare 1 tầng Safe Plus AS65GDWHO,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/may-loc-khong-khi-lg-puricare-1-tang-safe-plus-as65gdwho.jpg",16.990.000 ₫,25.000.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/may-loc.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/l/e/leovit.jpg",,
