product_name,product_src_image,product_price_new,product_price_old
Củ sạc Aukey PD 30W PA-Y30s,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_141_nobrand.png",290.000 ₫,550.000 ₫
Pin sạc dự phòng Energizer 10.000mAh QE10013PQ,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/m/image_293.png",640.000 ₫,900.000 ₫
Củ sạc nhanh Belkin PD 25W 1 cổng Type-C chân tròn,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_204_2_4.png",325.000 ₫,520.000 ₫
"Pin sạc dự phòng Energizer 10,000mAh UE10052PQ","https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/m/image_295.png",590.000 ₫,800.000 ₫
Củ sạc nhanh Hyper GaN2 Dual USB-C PD 35W,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/f/r/frame_1_3_13.png",590.000 ₫,850.000 ₫
Tai nghe Bluetooth Apple AirPods 2 VN/A,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_169_2.png",2.950.000 ₫,3.990.000 ₫
Tai nghe Bluetooth Apple AirPods Pro 2022 | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_111_5_.png",6.290.000 ₫,6.990.000 ₫
Sạc nhanh 20W Apple MHJE3ZA | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_117_1.png",590.000 ₫,890.000 ₫
Tai nghe Bluetooth Apple AirPods 3 MagSafe | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_170_9.png",4.690.000 ₫,4.990.000 ₫
Tai nghe Bluetooth Apple AirPods Pro 2021 Magsafe | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_168_1__1.png",4.990.000 ₫,6.990.000 ₫
Tai nghe Bluetooth Apple AirPods 3 2022 sạc có dây | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_170_1_1.png",4.390.000 ₫,5.990.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_201_4.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_113_1__1.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/b/u/but-cam-ung-apple-pencil-2.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/_/i/_iphone_se2_iphone_xs_.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/p/i/pin-sac-du-phong-xiaomi-redmi-20000mah-sac-nhanh-18w-ts.jpg",,
Apple AirTag | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/a/i/airtag.jpg",790.000 ₫,0
Ốp lưng iPhone 12 Pro Max Raptic Shield Pro Magnet,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/p/op-lung-iphone-12-pro-_max-raptic-shield-pro-magnet-6.png",920.000 ₫,0
Tay cầm chống rung Zhiyun Q3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/a/tay-cam-chong-rung-zhiyun-q3-1.jpeg",1.890.000 ₫,2.100.000 ₫
Cáp Micro USB Golf GC-67M dây dù 1m,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/c/a/cap-micro-usb-golf-gc-67m-day-du-1m.jpg",90.000 ₫,150.000 ₫
Camera IP hồng ngoại Wifi Ezviz C6N 1080p 2MP,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/c/a/camera-ip-wifi-ezviz-c6n-1080p-2mp.jpg",490.000 ₫,790.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/f/office_365_12_thang.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_125_1_.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/d/e/devia_k_d.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_88.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/f/office_365_12_thang.png",,
Phần mềm Microsoft Office Home & Student 2021,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/f/office_v_nh_vi_n.png",2.190.000 ₫,0
Phần mềm Microsoft Office 365 Family (12 tháng X 6 User),"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/f/office_family.png",1.490.000 ₫,0
Phần mềm Microsoft Windows 11 Home,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_208_1_.png",3.590.000 ₫,0
Giá đỡ Laptop/Macbook hộp kim nhôm đa năng cao cấp,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/c/screenshot_6_4.jpg",450.000 ₫,0
Cáp HDMI 2.0 Orico,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/r/orico_hm14_10_bk_1.jpg",100.000 ₫,0
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/i/microsoft-surface-pen.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/i/gia-do-tan-nhiet-hyperstand-folding-aluminium-cho-4460.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/a/sac-macbook-hyperdrive-4-hdmi-4k-6-in-1.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/v/hv-mp860-1.jpg",,
