product_name,product_src_image,product_price_new,product_price_old
Nokia T20,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/n/o/nokia-t20-1-600x600.jpg",3.990.000 ₫,6.290.000 ₫
iPad Air 5 (2022) 64GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_253_3.jpg",14.590.000 ₫,16.990.000 ₫
iPad 10.2 2021 WiFi 64GB | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/x/_/x_mmas.png",7.590.000 ₫,10.990.000 ₫
iPad Gen 10 10.9 inch 2022 Wifi 64GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-2022-hero-silver-wifi-select.png",10.990.000 ₫,12.990.000 ₫
Samsung Galaxy Tab S8 Ultra 5G,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/a/tab_s8_ultra.jpg",30.990.000 ₫,0
Samsung Galaxy Tab S8 WIFI,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/a/tab_s8_2.jpg",15.990.000 ₫,17.990.000 ₫
iPad Pro 11 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02.jpg",20.990.000 ₫,23.990.000 ₫
iPad mini 6 WiFi 64GB | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/3/_/3_229.jpg",12.490.000 ₫,14.990.000 ₫
iPad Pro 11 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-2021-11inch-grey_2.jpg",19.490.000 ₫,23.990.000 ₫
iPad mini 6 LTE 4GB 64GB | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/_/2_246_2.jpg",15.690.000 ₫,19.990.000 ₫
Samsung Galaxy Tab S8 5G,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/a/tab_s8.jpg",20.990.000 ₫,0
Samsung Galaxy Tab A8 (2022),"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/a/samsung-galaxy-tab-s8-002.jpg",6.990.000 ₫,0
Nokia T20,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/n/o/nokia-t20-1-600x600.jpg",3.990.000 ₫,6.290.000 ₫
iPad mini 6 WiFi 256GB | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/_/4_190_2.jpg",16.490.000 ₫,19.990.000 ₫
iPad Air 5 (2022) 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_253_7.jpg",18.290.000 ₫,20.990.000 ₫
Xiaomi Pad 5 (6GB/256GB),"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/1/o1cn01ijop4f1slqk1fdzto_-2201438992231_1628774717_2.jpg",9.190.000 ₫,10.490.000 ₫
iPad 10.2 2021 WiFi 256GB | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/x/_/x_mmas_4.png",10.990.000 ₫,14.990.000 ₫
iPad Air 10.9 2020 4G 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/_/5_160_6.jpg",18.290.000 ₫,23.990.000 ₫
iPad Pro 12.9 2021 M1 WiFi 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-12-9-2021-1_1_1.jpg",25.990.000 ₫,33.990.000 ₫
Samsung Galaxy Tab S7 FE (4G),"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/a/samsung-galaxy-tab-s7-fe-chinh-hang_1_1_2_1.jpg",13.990.000 ₫,0
Samsung Galaxy Tab A7 Lite,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/a/samsung-galaxy-tab-a7-lite-gray-600x600.jpg",4.490.000 ₫,0
Redmi Pad 3GB 64GB,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/w/1w2kuj.jpg",5.600.000 ₫,6.290.000 ₫
iPad 10.2 2021 4G 64GB | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/x/_/x_mmas_5.png",9.790.000 ₫,14.990.000 ₫
