product_name,product_src_image,product_price_new,product_price_old
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/e/d/edifier_w820nb.png",,
Loa Bluetooth Marshall Acton 2,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_245_1__2.png",6.190.000 ₫,7.990.000 ₫
Tai nghe chụp tai Gaming Havit HV-H2232D,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_226_2.png",290.000 ₫,790.000 ₫
Tai nghe không dây Robot Flybuds T10,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/r/o/robot_flybuds_t10.png",210.000 ₫,399.000 ₫
Loa Bluetooth Marshall Stanmore 2,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/marshall_stanmore_2.png",8.590.000 ₫,11.190.000 ₫
Tai nghe không dây SoundPEATS Air3 Pro,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_115_2.png",1.290.000 ₫,1.790.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_220_1_1.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_217_3_1.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_211_2.png",,
Loa Bluetooth LG XBoom Go PL7,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/l/g/lg_xboom_go_pl7_1.png",1.690.000 ₫,4.490.000 ₫
Loa Bluetooth JBL Charge 5,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_211.png",3.690.000 ₫,3.990.000 ₫
Loa Bluetooth Marshall Willen,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_245_4.png",2.690.000 ₫,2.790.000 ₫
Loa JBL Partybox On The Go,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_204_2_2.png",6.990.000 ₫,8.500.000 ₫
Loa Bluetooth JBL Flip 6,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_211_1__1.png",2.790.000 ₫,2.990.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_213_1.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_245_1__2.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/marshall-emberton.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_213_1_1.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/a/marshall_stanmore_2.png",,
Loa Bluetooth FOOMEE HH16,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_150_1_2.png",290.000 ₫,700.000 ₫
Loa Bluetooth JBL Flip Essential 2,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_214_2.png",2.490.000 ₫,0
Loa Bluetooth JBL Boombox 3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_174_1.png",11.190.000 ₫,11.990.000 ₫
Loa Bluetooth LG Xboom Go PN1,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/l/g/lg_xboom_go_pn1_4.png",420.000 ₫,450.000 ₫
Loa Bluetooth JBL Partybox 710,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_154_6.png",19.800.000 ₫,20.900.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/a/harman-kardon-go-_-play.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_215_2_.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/f/r/frame_26_2_.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_211_1__2.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_169_2.png",,
Tai nghe Bluetooth Apple AirPods Pro 2022 | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_111_5_.png",6.290.000 ₫,6.990.000 ₫
Tai nghe Bluetooth Apple AirPods 3 MagSafe | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_170_9.png",4.690.000 ₫,4.990.000 ₫
Tai nghe không dây Samsung Galaxy Buds Live,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_182_1__1.png",1.090.000 ₫,4.490.000 ₫
