product_name,product_src_image,product_price_new,product_price_old
Android Tivi Xiaomi P1 55 inch,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_74_38.jpg",8.490.000 ₫,11.990.000 ₫
Android Tivi Xiaomi A2 32 inch,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/h/hh_1__1.png",3.790.000 ₫,5.990.000 ₫
Android Tivi Xiaomi P1 43 inch,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_74_38_1.jpg",6.490.000 ₫,9.990.000 ₫
Android Tivi Xiaomi A2 58 inch,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/_/4_45_20.jpg",9.190.000 ₫,13.990.000 ₫
Smart TV Coocaa HD 32 inch WIFI 32S3U,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/6/26_1_71.jpg",2.990.000 ₫,7.990.000 ₫
Android Tivi Xiaomi A2 43 inch,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/h/hh_1_.png",5.490.000 ₫,7.990.000 ₫
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 65 inch 65LS03BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq75lsb03afxkr_003_front3_black_1.png",32.200.000 ₫,40.900.000 ₫
Smart Tivi Samsung UHD 4K 43 inch UA43AU7002,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_198.jpg",7.490.000 ₫,9.900.000 ₫
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 50 inch 50LS03BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/_/t_i_xu_ng_8__1_5.png",19.700.000 ₫,28.900.000 ₫
Google Tivi Coocaa 4K 55 inch 55Y72,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/text_ng_n_22.png",7.890.000 ₫,20.000.000 ₫
Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/0/40_1_31_1_1.jpg",12.490.000 ₫,21.900.000 ₫
Smart Tivi Sony 4K 65 inch KD-65X75K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-50-inch-kd-50x75k-1_2.jpg",13.990.000 ₫,24.900.000 ₫
Smart TV Samsung QLED 65 inch 65Q60BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/5/55_1_13.jpg",16.490.000 ₫,28.900.000 ₫
Smart Tivi Sony 4K 55 inch KD-55X75K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-50-inch-kd-50x75k-1_1.jpg",12.690.000 ₫,20.900.000 ₫
Smart Tivi Coocaa HD 55 inch Wifi 55S6G Pro Max,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/c/scdfdf_2_.jpg",7.890.000 ₫,22.900.000 ₫
Smart Tivi Samsung 4K 55 inch UA55AU7002,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_217_2_1.png",10.990.000 ₫,13.900.000 ₫
Smart Tivi Samsung Crystal UHD 4K 75 inch UA75AU7700KXX,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_242_1.jpg",21.990.000 ₫,38.900.000 ₫
Smart Tivi Coocaa HD 32 inch Wifi 32S7G,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/c/scdfdf_1_.jpg",3.690.000 ₫,6.900.000 ₫
Smart Tivi Coocaa HD 43 inch Wifi 43S3U,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_325.jpg",4.890.000 ₫,9.000.000 ₫
Smart Tivi Samsung Crystal UHD 4K 43 inch 43AU7700,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_197.jpg",8.990.000 ₫,14.400.000 ₫
Android Tivi Toshiba 43 inch Full HD 43V35KP,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/_/t_i_xu_ng_7__2_2.png",7.990.000 ₫,8.990.000 ₫
Smart Tivi Samsung 4K 65 inch UA65AU7002,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_217_2_1_1.png",12.990.000 ₫,18.900.000 ₫
Smart TV Samsung QLED 75 inch 75Q60BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/5/55_1_12.jpg",27.990.000 ₫,41.900.000 ₫
Smart TV Samsung QLED 50 Inch QA50Q60AA (Model 2021),"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/q/a/qa65q60acopy-1-550x340-18.jpg",12.990.000 ₫,21.900.000 ₫
Google Tivi Toshiba 50 inch 4K HDR 50C350LP,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart_tivi_toshiba_55_inch_4k_hdr_55c350lp.jpg",12.690.000 ₫,14.690.000 ₫
Smart Tivi Samsung 4K 50 inch UA50AU7002,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_217_2.png",9.700.000 ₫,11.400.000 ₫
Smart Tivi Samsung Crystal UHD 65 inch 65AU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_194.jpg",14.490.000 ₫,25.400.000 ₫
Google Tivi Toshiba 55 inch 4K HDR 55C350LP,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart_tivi_toshiba_55_inch_4k_hdr_55c350lp_1.jpg",13.690.000 ₫,15.690.000 ₫
Smart Tivi Samsung Crystal UHD 4K 55 INCH UA55AU7700KXXV,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/_/0/_0004_vn-uhd-au7000-383862-ua55au7700k.jpg",11.990.000 ₫,20.900.000 ₫
Smart Tivi Samsung Crystal UHD 4K 75 Inch 75BU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_55_inch_-_10_6.jpg",23.990.000 ₫,35.900.000 ₫
Smart TV 4K The Sero Samsung 43 INCH 43LS05BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/6/46_1_13.jpg",24.900.000 ₫,28.900.000 ₫
Android Tivi Toshiba 32 inch HD 32V35KP,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/_/t_i_xu_ng_7__2_2_1.png",6.990.000 ₫,0
Smart TV Samsung QLED 55 inch 55Q60BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/5/55_1_12_1.jpg",13.990.000 ₫,22.900.000 ₫
Khung treo Tivi Camel 19-40 inch KTT40TT,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/0/40_1_42.jpg",200.000 ₫,0
Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU8000KXXV,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/0/40_1_31_1.jpg",13.500.000 ₫,20.000.000 ₫
Smart Tivi Samsung Crystal UHD 4K 65 inch 65AU7700,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_195.jpg",14.190.000 ₫,26.900.000 ₫
Smart Tivi The Serif Samsung LTV 55 inch 55LS01BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq43lsb01afxkr_007_front_white_1.png",23.500.000 ₫,28.900.000 ₫
